Month,Total R:R,Trades,Trading Journal,Win Rate
July,0,0,,
August,0,0,,
January,0,0,,
November,0,0,,
October,0,0,,
June,6,3," עסקת לייב (%D7%AA%D7%99%D7%A2%D7%95%D7%93%20%D7%A2%D7%A1%D7%A7%D7%90%D7%95%D7%AA/Trading%20Journal%20v2/%D7%A2%D7%A1%D7%A7%D7%AA%20%D7%9C%D7%99%D7%99%D7%91%2091dd3fd6d79a4fd6be61e273d65d00ad.md),  עסקה בדיעבד (%D7%AA%D7%99%D7%A2%D7%95%D7%93%20%D7%A2%D7%A1%D7%A7%D7%90%D7%95%D7%AA/Trading%20Journal%20v2/%D7%A2%D7%A1%D7%A7%D7%94%20%D7%91%D7%93%D7%99%D7%A2%D7%91%D7%93%20bf47e07d90424180a8c98a8353f45d2f.md),  עסקת לייב (1) (%D7%AA%D7%99%D7%A2%D7%95%D7%93%20%D7%A2%D7%A1%D7%A7%D7%90%D7%95%D7%AA/Trading%20Journal%20v2/%D7%A2%D7%A1%D7%A7%D7%AA%20%D7%9C%D7%99%D7%99%D7%91%20(1)%2030f464dceb1d801a99e9eb3dfe7177c3.md)",1
April,0,0,,
May,0,0,,
September,0,0,,
December,0,0,,
March,0,0,,
February,0,0,,
